Date,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Tair,RH,Srad,wind,Ppt,qc_good_frac,Station_ID,SMAP_raw,SMAP_ff,days_since_smap
2019-08-09,0.19558333333333333,0.20354166666666665,0.20291666666666666,0.19445833333333332,33.93625,33.889583333333334,33.37583333333333,30.63083333333333,30.27625,0.61,318.7425,3.9301666666666666,0.0,1.0,TXS05,0.0969014,0.0969014,0
2019-08-10,0.195125,0.203375,0.20270833333333335,0.19408333333333336,34.06541666666667,34.01541666666667,33.47125,30.7175,29.972083333333334,5.197500000000001,320.40749999999997,3.312416666666667,0.0,0.9583333333333334,TXS05,,0.0969014,1
2019-08-11,0.19475,0.20295833333333335,0.20258333333333334,0.19400000000000003,34.24708333333333,34.19041666666667,33.632083333333334,30.817916666666665,30.212083333333336,3.549166666666667,326.75416666666666,3.279291666666667,0.0,0.7083333333333334,TXS05,,0.0969014,2
2019-08-12,0.19466666666666668,0.20279166666666668,0.20258333333333334,0.19400000000000003,34.52708333333333,34.462916666666665,33.88375,30.947916666666668,30.74,7.107916666666667,323.6475,2.9927083333333333,0.0,0.9166666666666666,TXS05,0.1067596,0.1067596,0
2019-08-13,0.19470833333333334,0.20274999999999999,0.20262500000000003,0.19400000000000003,34.88333333333333,34.76208333333333,34.13875,31.096249999999998,31.469166666666666,0.9258333333333333,321.36083333333335,2.7850416666666664,0.0,1.0,TXS05,,0.1067596,1
2019-08-14,0.19400000000000003,0.20208333333333336,0.2024166666666667,0.19400000000000003,34.72125,34.76416666666667,34.360416666666666,31.2775,29.30666666666667,28.375416666666666,235.78125,1.7132083333333332,0.0,1.0,TXS05,,0.1067596,2
2019-08-15,0.19316666666666668,0.20095833333333335,0.2015416666666667,0.19400000000000003,33.96041666666667,34.01416666666667,33.735416666666666,31.34583333333333,29.402916666666666,7.896666666666666,253.20333333333335,0.9154583333333334,0.0,1.0,TXS05,0.1236657,0.1236657,0
2019-08-16,0.19316666666666668,0.20079166666666667,0.20129166666666667,0.19358333333333333,34.09291666666667,34.10541666666666,33.72375,31.2775,30.8875,25.140416666666667,263.45375,2.4536666666666664,0.0,1.0,TXS05,,0.1236657,1
2019-08-17,0.19325,0.20066666666666666,0.20108333333333336,0.19304166666666667,34.32458333333333,34.27,33.788333333333334,31.280416666666667,30.574166666666667,11.81375,315.31625,3.3684999999999996,0.0,1.0,TXS05,0.1160796,0.1160796,0
2019-08-18,0.19287500000000002,0.20062500000000003,0.20108333333333336,0.19316666666666668,34.48041666666666,34.46333333333333,34.00833333333333,31.346249999999998,30.125416666666666,33.40208333333333,315.7404166666667,3.5134166666666666,0.0,1.0,TXS05,,0.1160796,1
