Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS03,2016-09-07,30.29815,-98.74201,0.1744439
TXS03,2016-09-09,30.29815,-98.74201,0.1424519
TXS03,2016-09-12,30.29815,-98.74201,0.1336585
TXS03,2016-09-15,30.29815,-98.74201,0.1198656
TXS03,2016-09-17,30.29815,-98.74201,0.124401
TXS03,2016-09-20,30.29815,-98.74201,0.1102938
TXS03,2016-09-23,30.29815,-98.74201,0.1162442
TXS03,2016-09-25,30.29815,-98.74201,0.1734662
TXS03,2016-10-01,30.29815,-98.74201,0.2194016
TXS03,2016-10-03,30.29815,-98.74201,0.1853368
TXS03,2016-10-06,30.29815,-98.74201,0.14998
TXS03,2016-10-09,30.29815,-98.74201,0.1522963
TXS03,2016-10-11,30.29815,-98.74201,0.1412754
TXS03,2016-10-14,30.29815,-98.74201,0.1408265
TXS03,2016-10-17,30.29815,-98.74201,0.1290184
TXS03,2016-10-19,30.29815,-98.74201,0.1348617
TXS03,2016-10-22,30.29815,-98.74201,0.1444898
TXS03,2016-10-25,30.29815,-98.74201,0.1397751
TXS03,2016-10-27,30.29815,-98.74201,0.1351216
TXS03,2016-10-30,30.29815,-98.74201,0.1192213
TXS03,2016-11-02,30.29815,-98.74201,0.0975116
TXS03,2016-11-04,30.29815,-98.74201,0.2555932
TXS03,2016-11-07,30.29815,-98.74201,0.267679
TXS03,2016-11-10,30.29815,-98.74201,0.3164611
TXS03,2016-11-12,30.29815,-98.74201,0.2893926
TXS03,2016-11-15,30.29815,-98.74201,0.2637266
TXS03,2016-11-18,30.29815,-98.74201,0.2276502
TXS03,2016-11-20,30.29815,-98.74201,0.2324103
TXS03,2016-11-23,30.29815,-98.74201,0.2492019
TXS03,2016-11-26,30.29815,-98.74201,0.2237244
TXS03,2016-11-28,30.29815,-98.74201,0.1853321
TXS03,2016-12-01,30.29815,-98.74201,0.1802989
TXS03,2016-12-04,30.29815,-98.74201,0.3041216
TXS03,2016-12-06,30.29815,-98.74201,0.297662
TXS03,2016-12-09,30.29815,-98.74201,0.2573706
TXS03,2016-12-12,30.29815,-98.74201,0.2719616
TXS03,2016-12-14,30.29815,-98.74201,0.2898545
TXS03,2016-12-17,30.29815,-98.74201,0.2418538
TXS03,2016-12-20,30.29815,-98.74201,0.2218511
TXS03,2016-12-22,30.29815,-98.74201,0.2269076
TXS03,2016-12-25,30.29815,-98.74201,0.2205487
TXS03,2016-12-28,30.29815,-98.74201,0.2068003
TXS03,2016-12-30,30.29815,-98.74201,0.2333122
TXS03,2017-01-02,30.29815,-98.74201,0.2897016
TXS03,2017-01-05,30.29815,-98.74201,0.2114637
TXS03,2017-01-07,30.29815,-98.74201,0.196237
TXS03,2017-01-10,30.29815,-98.74201,0.1881044
TXS03,2017-01-13,30.29815,-98.74201,0.1816345
TXS03,2017-01-15,30.29815,-98.74201,0.2214979
TXS03,2017-01-18,30.29815,-98.74201,0.3084042
TXS03,2017-01-21,30.29815,-98.74201,0.2710843
TXS03,2017-01-23,30.29815,-98.74201,0.258511
TXS03,2017-01-26,30.29815,-98.74201,0.2161759
TXS03,2017-01-29,30.29815,-98.74201,0.2021412
TXS03,2017-01-31,30.29815,-98.74201,0.2181311
TXS03,2017-02-03,30.29815,-98.74201,0.1853854
TXS03,2017-02-06,30.29815,-98.74201,0.1678771
TXS03,2017-02-08,30.29815,-98.74201,0.2035201
TXS03,2017-02-11,30.29815,-98.74201,0.1548711
TXS03,2017-02-14,30.29815,-98.74201,0.418074
TXS03,2017-02-16,30.29815,-98.74201,0.2831203
TXS03,2017-02-19,30.29815,-98.74201,0.224462
TXS03,2017-02-22,30.29815,-98.74201,0.2730452
TXS03,2017-02-24,30.29815,-98.74201,0.2840546
TXS03,2017-02-27,30.29815,-98.74201,0.1849273
TXS03,2017-03-02,30.29815,-98.74201,0.2016961
TXS03,2017-03-04,30.29815,-98.74201,0.1701837
TXS03,2017-03-07,30.29815,-98.74201,0.2460746
TXS03,2017-03-10,30.29815,-98.74201,0.2355352
TXS03,2017-03-12,30.29815,-98.74201,0.2517456
TXS03,2017-03-15,30.29815,-98.74201,0.2277057
TXS03,2017-03-18,30.29815,-98.74201,0.1942825
TXS03,2017-03-20,30.29815,-98.74201,0.179977
TXS03,2017-03-23,30.29815,-98.74201,0.1717413
TXS03,2017-03-26,30.29815,-98.74201,0.1501001
TXS03,2017-03-28,30.29815,-98.74201,0.1375073
TXS03,2017-03-31,30.29815,-98.74201,0.2016466
TXS03,2017-04-03,30.29815,-98.74201,0.2823874
TXS03,2017-04-05,30.29815,-98.74201,0.2207635
TXS03,2017-04-08,30.29815,-98.74201,0.1707593
TXS03,2017-04-11,30.29815,-98.74201,0.2309085
TXS03,2017-04-13,30.29815,-98.74201,0.2269519
TXS03,2017-04-16,30.29815,-98.74201,0.1977405
TXS03,2017-04-19,30.29815,-98.74201,0.1740268
TXS03,2017-04-21,30.29815,-98.74201,0.1723738
TXS03,2017-04-24,30.29815,-98.74201,0.1386453
TXS03,2017-04-27,30.29815,-98.74201,0.1325239
TXS03,2017-04-29,30.29815,-98.74201,0.1216348
TXS03,2017-05-02,30.29815,-98.74201,0.1417959
TXS03,2017-05-05,30.29815,-98.74201,0.1185556
TXS03,2017-05-07,30.29815,-98.74201,0.122267
TXS03,2017-05-10,30.29815,-98.74201,0.1444943
TXS03,2017-05-13,30.29815,-98.74201,0.1324155
TXS03,2017-05-15,30.29815,-98.74201,0.1235691
TXS03,2017-05-18,30.29815,-98.74201,0.1613302
TXS03,2017-05-21,30.29815,-98.74201,0.2293035
TXS03,2017-05-23,30.29815,-98.74201,0.2685183
TXS03,2017-05-26,30.29815,-98.74201,0.1751443
TXS03,2017-05-29,30.29815,-98.74201,0.2649976
TXS03,2017-05-31,30.29815,-98.74201,0.2446944
TXS03,2017-06-03,30.29815,-98.74201,0.1910454
TXS03,2017-06-06,30.29815,-98.74201,0.2470431
TXS03,2017-06-08,30.29815,-98.74201,0.198006
TXS03,2017-06-11,30.29815,-98.74201,0.149728
TXS03,2017-06-14,30.29815,-98.74201,0.1249758
TXS03,2017-06-16,30.29815,-98.74201,0.11845
TXS03,2017-06-19,30.29815,-98.74201,0.119858
TXS03,2017-06-22,30.29815,-98.74201,0.1306859
TXS03,2017-06-24,30.29815,-98.74201,0.1208086
TXS03,2017-06-27,30.29815,-98.74201,0.2982394
TXS03,2017-06-30,30.29815,-98.74201,0.1934125
TXS03,2017-07-02,30.29815,-98.74201,0.1892331
TXS03,2017-07-05,30.29815,-98.74201,0.1440632
TXS03,2017-07-08,30.29815,-98.74201,0.1217265
TXS03,2017-07-10,30.29815,-98.74201,0.1324857
TXS03,2017-07-13,30.29815,-98.74201,0.1036803
TXS03,2017-07-16,30.29815,-98.74201,0.1361286
TXS03,2017-07-18,30.29815,-98.74201,0.1704476
TXS03,2017-07-21,30.29815,-98.74201,0.1191409
TXS03,2017-07-24,30.29815,-98.74201,0.2486645
TXS03,2017-07-26,30.29815,-98.74201,0.1995274
TXS03,2017-07-29,30.29815,-98.74201,0.1288976
TXS03,2017-08-01,30.29815,-98.74201,0.1303425
TXS03,2017-08-03,30.29815,-98.74201,0.1686773
TXS03,2017-08-06,30.29815,-98.74201,0.1336418
TXS03,2017-08-09,30.29815,-98.74201,0.2604208
TXS03,2017-08-11,30.29815,-98.74201,0.2236739
TXS03,2017-08-14,30.29815,-98.74201,0.1579681
TXS03,2017-08-17,30.29815,-98.74201,0.1244017
TXS03,2017-08-19,30.29815,-98.74201,0.1285592
TXS03,2017-08-22,30.29815,-98.74201,0.123519
TXS03,2017-08-25,30.29815,-98.74201,0.14001
TXS03,2017-08-27,30.29815,-98.74201,0.3244253
TXS03,2017-08-30,30.29815,-98.74201,0.2284034
TXS03,2017-09-02,30.29815,-98.74201,0.1511937
TXS03,2017-09-04,30.29815,-98.74201,0.1383404
TXS03,2017-09-07,30.29815,-98.74201,0.1391464
TXS03,2017-09-10,30.29815,-98.74201,0.1209737
TXS03,2017-09-12,30.29815,-98.74201,0.116292
TXS03,2017-09-15,30.29815,-98.74201,0.1131955
TXS03,2017-09-18,30.29815,-98.74201,0.0939806
TXS03,2017-09-20,30.29815,-98.74201,0.1087146
TXS03,2017-09-23,30.29815,-98.74201,0.117653
TXS03,2017-09-26,30.29815,-98.74201,0.2064794
TXS03,2017-09-28,30.29815,-98.74201,0.2984691
TXS03,2017-10-01,30.29815,-98.74201,0.2865301
TXS03,2017-10-04,30.29815,-98.74201,0.2520763
TXS03,2017-10-06,30.29815,-98.74201,0.231542
TXS03,2017-10-09,30.29815,-98.74201,0.1974815
TXS03,2017-10-12,30.29815,-98.74201,0.1636401
TXS03,2017-10-14,30.29815,-98.74201,0.1536779
TXS03,2017-10-17,30.29815,-98.74201,0.1544803
TXS03,2017-10-20,30.29815,-98.74201,0.1281095
TXS03,2017-10-22,30.29815,-98.74201,0.2335385
TXS03,2017-10-25,30.29815,-98.74201,0.1766939
TXS03,2017-10-28,30.29815,-98.74201,0.1445462
TXS03,2017-10-30,30.29815,-98.74201,0.1420924
TXS03,2017-11-02,30.29815,-98.74201,0.1250785
TXS03,2017-11-05,30.29815,-98.74201,0.122944
TXS03,2017-11-07,30.29815,-98.74201,0.1310753
TXS03,2017-11-10,30.29815,-98.74201,0.2093768
TXS03,2017-11-13,30.29815,-98.74201,0.2136792
TXS03,2017-11-15,30.29815,-98.74201,0.1968537
TXS03,2017-11-18,30.29815,-98.74201,0.1799268
TXS03,2017-11-21,30.29815,-98.74201,0.1502974
TXS03,2017-11-23,30.29815,-98.74201,0.1529007
TXS03,2017-11-26,30.29815,-98.74201,0.1396004
