ID,Latitude,Longitude,Date,SMAP_Tile,SPL3SMP_E_006_Line_Y_9.00805km,SPL3SMP_E_006_Sample_X_9.00805km,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Recommended_Quality_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Attempted_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_FT_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Undefined_Description
TM01,25.4479389,-98.01216666666667,2015-05-21,h00v00,463.0,878.0,0.1691945,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-05-22,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-05-23,h00v00,463.0,878.0,0.2714477,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-05-24,h00v00,463.0,878.0,0.3531942,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-05-25,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-05-26,h00v00,463.0,878.0,0.2866421,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-05-27,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-05-28,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-05-29,h00v00,463.0,878.0,0.2238195,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-05-30,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-05-31,h00v00,463.0,878.0,0.329197,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-01,h00v00,463.0,878.0,0.3205381,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-02,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-03,h00v00,463.0,878.0,0.2715926,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-04,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-05,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-06,h00v00,463.0,878.0,0.2196331,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-07,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-08,h00v00,463.0,878.0,0.2038924,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-09,h00v00,463.0,878.0,0.1911006,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-10,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-11,h00v00,463.0,878.0,0.1679256,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-12,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-13,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-14,h00v00,463.0,878.0,0.1579136,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-15,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-16,h00v00,463.0,878.0,0.1740241,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-17,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-18,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-19,h00v00,463.0,878.0,0.2445622,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-20,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-21,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-22,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-23,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-24,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-25,h00v00,463.0,878.0,0.2711565,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-26,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
TM01,25.4479389,-98.01216666666667,2015-06-27,h00v00,463.0,878.0,0.2048267,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
TM01,25.4479389,-98.01216666666667,2015-06-28,h00v00,463.0,878.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
